,zL_I_dc,zL_II_dc,zL_III_dc,zL_1_dc,zL_2_dc,zL_3_dc,zL_4_dc
0,-0.06195823878902038,-0.08983348159561409,-0.13186338985714655,-0.03765473895584454,-0.0380287243629597,-0.03707968141839883,-0.0360190230328416
1,-0.0867795985700187,-0.08453516024594915,-0.1292948074971662,-0.05262244828426752,-0.049052816381564376,-0.026349842455920477,-0.052521172248511314
2,-0.08572861749934442,-0.057947753290884835,-0.09103752803072798,-0.0559066278122282,-0.04604068549272283,-0.015925568082694994,-0.05691905370455971
3,-0.15370558776064544,-0.24235820662829147,-0.1792912377092951,-0.07504097688286275,-0.10440849314960506,-0.08824297166324468,-0.032434914053309775
4,-0.11852392468037977,-0.1181525663460249,-0.14929566661920424,-0.07038456481242666,-0.06292467383837308,-0.03648825938878921,-0.04244381535367085
5,-0.23382422470198055,-0.25312154714977175,-0.261073456920665,-0.11597765400553,-0.14573970067359676,-0.07322888560700408,-0.06274006397336016
6,-0.08903104637581233,-0.09403687527855956,-0.14231056103341053,-0.050846897845469245,-0.04618742314908589,-0.02897621843716956,-0.0482235087471304
7,-0.059650096306615184,-0.06676827370378609,-0.10958034861544122,-0.04258069993041706,-0.025840169872476594,-0.024177113916146957,-0.03177967310005991
8,-0.0938168288576265,-0.0770620927006749,-0.133683065078993,-0.05627993922598525,-0.04699760838846902,-0.020947618101833827,-0.08342232332910007
9,-0.07445232721825308,-0.08713385713807816,-0.12438052043935417,-0.039801499833589306,-0.04219117547641263,-0.026703506006776876,-0.036616881674270484
10,-0.04424041854249076,-0.051754072645085136,-0.10047651581735918,-0.026916383830362538,-0.022017863068987807,-0.017037913551953752,-0.04396636790848792
11,-0.06327510470927718,-0.0849871109207758,-0.12926915060551622,-0.03199175183237429,-0.039109021136467484,-0.02666136243048129,-0.0385362008435333
12,-0.09561887646337823,-0.14577577263730343,-0.2002162642485657,-0.04756691581610478,-0.05860303815821094,-0.04832092682283402,-0.04591838849083389
13,-0.047578367342366465,-0.05326082658028789,-0.11615185750414612,-0.0470387416481803,-0.01787292794858407,-0.020205557816201373,-0.03877550221988531
14,-0.0420487085731507,-0.030595316114014826,-0.052796959179731685,-0.02264037218246519,-0.021416285432612033,-0.006807738545730228,-0.034003414316030565
15,-0.04703598207770669,-0.028290661657084337,-0.04759239063549572,-0.023550107598717698,-0.024865411075479387,-0.005698303014334986,-0.03618384839855407
16,-0.056740719528192304,-0.03235594414747419,-0.049491314219389015,-0.020555892331371225,-0.04873967089667155,-0.0058228281033190065,-0.03488357461221427
17,-0.03869616372079755,-0.04945494931943561,-0.0791087292655721,-0.012787117958148348,-0.03766611611079052,-0.009598508467359476,-0.037535478122098016
18,-0.23366428159036007,-0.15306424492440185,-0.15358443749017534,-0.07744269860458347,-0.19140669298544707,-0.025611409740199566,-0.03155828427337807
19,-0.044327856499009805,-0.04368150174947645,-0.06607779455262584,-0.013167702278207048,-0.042715108648113176,-0.007293410995037854,-0.030716303706813795
20,-0.033190698301379905,-0.08055957038673603,-0.3297570006886146,-0.009822858594087672,-0.025734567076607356,-0.018848585268182512,0.058006027396013835
21,-0.08003022210274709,0.03700963273058643,0.13596536401329992,-0.005107102375193322,0.0073206731879050585,0.015188886303662254,0.04569828963000981
22,0.02792944874193228,0.5077953644299453,-0.06884393714022276,0.013090804837729793,0.010045693973923055,-0.011849009218633843,-0.01082665409261166
23,0.046263922256786515,0.10514827299161833,0.17236143852721242,0.0152364746791259,0.02293112639526175,0.032190586453190666,0.02461176855538838
24,0.045356710908171026,0.10605706003089115,0.15802493263371706,0.013736483653087082,0.024473770937603907,0.029460641125765834,0.022435038025842804
25,0.07086080340920294,0.08966387415161046,0.16603312097216832,0.024111433722903565,0.03245976827903984,0.017593585716443733,0.058691640982676055
26,0.09507802105163876,0.1664709697901712,0.13431712779364563,0.0347838450878972,0.03808891793760107,0.04642414333509177,0.01420661518403527
27,0.1346844878088329,0.25331877539694364,0.260191173942274,0.04506982489770565,0.06422155592146275,0.0678190123362627,0.0324398177946838
28,0.15880717750512924,0.20693326425907352,0.23973633230961594,0.06274697565964057,0.06232659443040329,0.04830349347882298,0.035740142608144794
29,0.17239855259962986,0.22584624644051027,0.28646834362703877,0.07183536930068017,0.06926560467318228,0.05636988017870563,0.04762508376370833
30,0.15981423428855737,0.20302358118758684,0.33031712841004435,0.07664145118783654,0.06287783692263052,0.05573425262735676,0.07244141820070718
