,jd,old_date
0,105.00,20220415_000000
1,105.01200,20220415_002000
2,105.02400,20220415_004000
3,105.03600,20220415_010000
4,105.04800,20220415_012000
5,105.06000,20220415_014000
6,105.07200,20220415_020000
7,105.08400,20220415_022000
8,105.09600,20220415_024000
9,105.10800,20220415_030000
10,105.12000,20220415_032000
11,105.13200,20220415_034000
12,105.14400,20220415_040000
13,105.15600,20220415_042000
14,105.16800,20220415_044000
15,105.18000,20220415_050000
16,105.19200,20220415_052000
17,105.20400,20220415_054000
18,105.21600,20220415_060000
19,105.22800,20220415_062000
20,105.24000,20220415_064000
21,105.25200,20220415_070000
22,105.26400,20220415_072000
23,105.27600,20220415_074000
24,105.28800,20220415_080000
25,105.30000,20220415_082000
26,105.31200,20220415_084000
27,105.32400,20220415_090000
28,105.33600,20220415_092000
29,105.34800,20220415_094000
30,105.36000,20220415_100000
31,105.37200,20220415_102000
32,105.38400,20220415_104000
33,105.39600,20220415_110000
34,105.40800,20220415_112000
35,105.42000,20220415_114000
36,105.43200,20220415_120000
37,105.44400,20220415_122000
38,105.45600,20220415_124000
39,105.46800,20220415_130000
40,105.48000,20220415_132000
41,105.49200,20220415_134000
42,105.50400,20220415_140000
43,105.51600,20220415_142000
44,105.52800,20220415_144000
45,105.54000,20220415_150000
46,105.55200,20220415_152000
47,105.56400,20220415_154000
48,105.57600,20220415_160000
49,105.58800,20220415_162000
50,105.60000,20220415_164000
51,105.61200,20220415_170000
52,105.62400,20220415_172000
53,105.63600,20220415_174000
54,105.64800,20220415_180000
55,105.66000,20220415_182000
56,105.67200,20220415_184000
57,105.68400,20220415_190000
58,105.69600,20220415_192000
59,105.70800,20220415_194000
60,105.72000,20220415_200000
61,105.73200,20220415_202000
62,105.74400,20220415_204000
63,105.75600,20220415_210000
64,105.76800,20220415_212000
65,105.78000,20220415_214000
66,105.79200,20220415_220000
67,105.80400,20220415_222000
68,105.81600,20220415_224000
69,105.82800,20220415_230000
70,105.84000,20220415_232000
71,105.85200,20220415_234000
72,106.00,20220416_000000
73,106.01200,20220416_002000
74,106.02400,20220416_004000
75,106.03600,20220416_010000
76,106.04800,20220416_012000
77,106.06000,20220416_014000
78,106.07200,20220416_020000
79,106.08400,20220416_022000
80,106.09600,20220416_024000
81,106.10800,20220416_030000
82,106.12000,20220416_032000
83,106.13200,20220416_034000
84,106.14400,20220416_040000
85,106.15600,20220416_042000
86,106.16800,20220416_044000
87,106.18000,20220416_050000
88,106.19200,20220416_052000
89,106.20400,20220416_054000
90,106.21600,20220416_060000
91,106.22800,20220416_062000
92,106.24000,20220416_064000
93,106.25200,20220416_070000
94,106.26400,20220416_072000
95,106.27600,20220416_074000
96,106.28800,20220416_080000
97,106.30000,20220416_082000
98,106.31200,20220416_084000
99,106.32400,20220416_090000
100,106.33600,20220416_092000
101,106.34800,20220416_094000
102,106.36000,20220416_100000
103,106.37200,20220416_102000
104,106.38400,20220416_104000
105,106.39600,20220416_110000
106,106.40800,20220416_112000
107,106.42000,20220416_114000
108,106.43200,20220416_120000
109,106.44400,20220416_122000
110,106.45600,20220416_124000
111,106.46800,20220416_130000
112,106.48000,20220416_132000
113,106.49200,20220416_134000
114,106.50400,20220416_140000
115,106.51600,20220416_142000
116,106.52800,20220416_144000
117,106.54000,20220416_150000
118,106.55200,20220416_152000
119,106.56400,20220416_154000
120,106.57600,20220416_160000
121,106.58800,20220416_162000
122,106.60000,20220416_164000
123,106.61200,20220416_170000
124,106.62400,20220416_172000
125,106.63600,20220416_174000
126,106.64800,20220416_180000
127,106.66000,20220416_182000
128,106.67200,20220416_184000
129,106.68400,20220416_190000
130,106.69600,20220416_192000
131,106.70800,20220416_194000
132,106.72000,20220416_200000
133,106.73200,20220416_202000
134,106.74400,20220416_204000
135,106.75600,20220416_210000
136,106.76800,20220416_212000
137,106.78000,20220416_214000
138,106.79200,20220416_220000
139,106.80400,20220416_222000
140,106.81600,20220416_224000
141,106.82800,20220416_230000
142,106.84000,20220416_232000
143,106.85200,20220416_234000
144,107.00,20220417_000000
145,107.01200,20220417_002000
146,107.02400,20220417_004000
147,107.03600,20220417_010000
148,107.04800,20220417_012000
149,107.06000,20220417_014000
150,107.07200,20220417_020000
151,107.08400,20220417_022000
152,107.09600,20220417_024000
153,107.10800,20220417_030000
154,107.12000,20220417_032000
155,107.13200,20220417_034000
156,107.14400,20220417_040000
157,107.15600,20220417_042000
158,107.16800,20220417_044000
159,107.18000,20220417_050000
160,107.19200,20220417_052000
161,107.20400,20220417_054000
162,107.21600,20220417_060000
163,107.22800,20220417_062000
164,107.24000,20220417_064000
165,107.25200,20220417_070000
166,107.26400,20220417_072000
167,107.27600,20220417_074000
168,107.28800,20220417_080000
169,107.30000,20220417_082000
170,107.31200,20220417_084000
171,107.32400,20220417_090000
172,107.33600,20220417_092000
173,107.34800,20220417_094000
174,107.36000,20220417_100000
175,107.37200,20220417_102000
176,107.38400,20220417_104000
177,107.39600,20220417_110000
178,107.40800,20220417_112000
179,107.42000,20220417_114000
180,107.43200,20220417_120000
181,107.44400,20220417_122000
182,107.45600,20220417_124000
183,107.46800,20220417_130000
184,107.48000,20220417_132000
185,107.49200,20220417_134000
186,107.50400,20220417_140000
187,107.51600,20220417_142000
188,107.52800,20220417_144000
189,107.54000,20220417_150000
190,107.55200,20220417_152000
191,107.56400,20220417_154000
192,107.57600,20220417_160000
193,107.58800,20220417_162000
194,107.60000,20220417_164000
195,107.61200,20220417_170000
196,107.62400,20220417_172000
197,107.63600,20220417_174000
198,107.64800,20220417_180000
199,107.66000,20220417_182000
200,107.67200,20220417_184000
201,107.68400,20220417_190000
202,107.69600,20220417_192000
203,107.70800,20220417_194000
204,107.72000,20220417_200000
205,107.73200,20220417_202000
206,107.74400,20220417_204000
207,107.75600,20220417_210000
208,107.76800,20220417_212000
209,107.78000,20220417_214000
210,107.79200,20220417_220000
211,107.80400,20220417_222000
212,107.81600,20220417_224000
213,107.82800,20220417_230000
214,107.84000,20220417_232000
215,107.85200,20220417_234000
216,108.00,20220418_000000
217,108.01200,20220418_002000
218,108.02400,20220418_004000
219,108.03600,20220418_010000
220,108.04800,20220418_012000
221,108.06000,20220418_014000
222,108.07200,20220418_020000
223,108.08400,20220418_022000
224,108.09600,20220418_024000
225,108.10800,20220418_030000
226,108.12000,20220418_032000
227,108.13200,20220418_034000
228,108.14400,20220418_040000
229,108.15600,20220418_042000
230,108.16800,20220418_044000
231,108.18000,20220418_050000
232,108.19200,20220418_052000
233,108.20400,20220418_054000
234,108.21600,20220418_060000
235,108.22800,20220418_062000
236,108.24000,20220418_064000
237,108.25200,20220418_070000
238,108.26400,20220418_072000
239,108.27600,20220418_074000
240,108.28800,20220418_080000
241,108.30000,20220418_082000
242,108.31200,20220418_084000
243,108.32400,20220418_090000
244,108.33600,20220418_092000
245,108.34800,20220418_094000
246,108.36000,20220418_100000
247,108.37200,20220418_102000
248,108.38400,20220418_104000
249,108.39600,20220418_110000
250,108.40800,20220418_112000
251,108.42000,20220418_114000
252,108.43200,20220418_120000
253,108.44400,20220418_122000
254,108.45600,20220418_124000
255,108.46800,20220418_130000
256,108.48000,20220418_132000
257,108.49200,20220418_134000
258,108.50400,20220418_140000
259,108.51600,20220418_142000
260,108.52800,20220418_144000
261,108.54000,20220418_150000
262,108.55200,20220418_152000
263,108.56400,20220418_154000
264,108.57600,20220418_160000
265,108.58800,20220418_162000
266,108.60000,20220418_164000
267,108.61200,20220418_170000
268,108.62400,20220418_172000
269,108.63600,20220418_174000
270,108.64800,20220418_180000
271,108.66000,20220418_182000
272,108.67200,20220418_184000
273,108.68400,20220418_190000
274,108.69600,20220418_192000
275,108.70800,20220418_194000
276,108.72000,20220418_200000
277,108.73200,20220418_202000
278,108.74400,20220418_204000
279,108.75600,20220418_210000
280,108.76800,20220418_212000
281,108.78000,20220418_214000
282,108.79200,20220418_220000
283,108.80400,20220418_222000
284,108.81600,20220418_224000
285,108.82800,20220418_230000
286,108.84000,20220418_232000
287,108.85200,20220418_234000
288,109.00,20220419_000000
289,109.01200,20220419_002000
290,109.02400,20220419_004000
291,109.03600,20220419_010000
292,109.04800,20220419_012000
293,109.06000,20220419_014000
294,109.07200,20220419_020000
295,109.08400,20220419_022000
296,109.09600,20220419_024000
297,109.10800,20220419_030000
298,109.12000,20220419_032000
299,109.13200,20220419_034000
300,109.14400,20220419_040000
301,109.15600,20220419_042000
302,109.16800,20220419_044000
303,109.18000,20220419_050000
304,109.19200,20220419_052000
305,109.20400,20220419_054000
306,109.21600,20220419_060000
307,109.22800,20220419_062000
308,109.24000,20220419_064000
309,109.25200,20220419_070000
310,109.26400,20220419_072000
311,109.27600,20220419_074000
312,109.28800,20220419_080000
313,109.30000,20220419_082000
314,109.31200,20220419_084000
315,109.32400,20220419_090000
316,109.33600,20220419_092000
317,109.34800,20220419_094000
318,109.36000,20220419_100000
319,109.37200,20220419_102000
320,109.38400,20220419_104000
321,109.39600,20220419_110000
322,109.40800,20220419_112000
323,109.42000,20220419_114000
324,109.43200,20220419_120000
325,109.44400,20220419_122000
326,109.45600,20220419_124000
327,109.46800,20220419_130000
328,109.48000,20220419_132000
329,109.49200,20220419_134000
330,109.50400,20220419_140000
331,109.51600,20220419_142000
332,109.52800,20220419_144000
333,109.54000,20220419_150000
334,109.55200,20220419_152000
335,109.56400,20220419_154000
336,109.57600,20220419_160000
337,109.58800,20220419_162000
338,109.60000,20220419_164000
339,109.61200,20220419_170000
340,109.62400,20220419_172000
341,109.63600,20220419_174000
342,109.64800,20220419_180000
343,109.66000,20220419_182000
344,109.67200,20220419_184000
345,109.68400,20220419_190000
346,109.69600,20220419_192000
347,109.70800,20220419_194000
348,109.72000,20220419_200000
349,109.73200,20220419_202000
350,109.74400,20220419_204000
351,109.75600,20220419_210000
352,109.76800,20220419_212000
353,109.78000,20220419_214000
354,109.79200,20220419_220000
355,109.80400,20220419_222000
356,109.81600,20220419_224000
357,109.82800,20220419_230000
358,109.84000,20220419_232000
359,109.85200,20220419_234000
360,110.00,20220420_000000
361,110.01200,20220420_002000
362,110.02400,20220420_004000
363,110.03600,20220420_010000
364,110.04800,20220420_012000
365,110.06000,20220420_014000
366,110.07200,20220420_020000
367,110.08400,20220420_022000
368,110.09600,20220420_024000
369,110.10800,20220420_030000
370,110.12000,20220420_032000
371,110.13200,20220420_034000
372,110.14400,20220420_040000
373,110.15600,20220420_042000
374,110.16800,20220420_044000
375,110.18000,20220420_050000
376,110.19200,20220420_052000
377,110.20400,20220420_054000
378,110.21600,20220420_060000
379,110.22800,20220420_062000
380,110.24000,20220420_064000
381,110.25200,20220420_070000
382,110.26400,20220420_072000
383,110.27600,20220420_074000
384,110.28800,20220420_080000
385,110.30000,20220420_082000
386,110.31200,20220420_084000
387,110.32400,20220420_090000
388,110.33600,20220420_092000
389,110.34800,20220420_094000
390,110.36000,20220420_100000
391,110.37200,20220420_102000
392,110.38400,20220420_104000
393,110.39600,20220420_110000
394,110.40800,20220420_112000
395,110.42000,20220420_114000
396,110.43200,20220420_120000
397,110.44400,20220420_122000
398,110.45600,20220420_124000
399,110.46800,20220420_130000
400,110.48000,20220420_132000
401,110.49200,20220420_134000
402,110.50400,20220420_140000
403,110.51600,20220420_142000
404,110.52800,20220420_144000
405,110.54000,20220420_150000
406,110.55200,20220420_152000
407,110.56400,20220420_154000
408,110.57600,20220420_160000
409,110.58800,20220420_162000
410,110.60000,20220420_164000
411,110.61200,20220420_170000
412,110.62400,20220420_172000
413,110.63600,20220420_174000
414,110.64800,20220420_180000
415,110.66000,20220420_182000
416,110.67200,20220420_184000
417,110.68400,20220420_190000
418,110.69600,20220420_192000
419,110.70800,20220420_194000
420,110.72000,20220420_200000
421,110.73200,20220420_202000
422,110.74400,20220420_204000
423,110.75600,20220420_210000
424,110.76800,20220420_212000
425,110.78000,20220420_214000
426,110.79200,20220420_220000
427,110.80400,20220420_222000
428,110.81600,20220420_224000
429,110.82800,20220420_230000
430,110.84000,20220420_232000
431,110.85200,20220420_234000
432,111.00,20220421_000000
