,p1_avg [Pa],p2_avg [Pa],p3_avg [Pa],p1_avg [mb],p2_avg [mb],p3_avg [mb]
0,101244.76731638229,101250.30652539583,101250.88736920417,1012.4476731638229,1012.5030652539583,1012.5088736920416
1,101312.0891724828,101316.99355423752,101318.0666264578,1013.120891724828,1013.1699355423749,1013.1806662645782
2,101332.38138900051,101337.16518309063,101338.39330137814,1013.3238138900053,1013.3716518309062,1013.3839330137812
3,101373.88098671926,101378.4872369547,101380.03490447291,1013.7388098671928,1013.784872369547,1013.8003490447292
4,101364.92494229115,101369.66090098699,101371.01579461407,1013.6492494229115,1013.6966090098699,1013.7101579461406
5,101352.24957398437,101356.9747263552,101358.36327399635,1013.5224957398437,1013.5697472635521,1013.5836327399636
6,101371.85331693801,101376.54723354636,101377.91545061616,1013.7185331693802,1013.7654723354636,1013.7791545061614
7,101395.40251797136,101400.02801692967,101401.48987562917,1013.9540251797135,1014.0002801692968,1014.0148987562916
8,101376.34808248802,101381.09298809843,101382.48465418699,1013.7634808248804,1013.8109298809843,1013.8248465418698
9,101381.6363578,101386.47577353282,101387.68782982448,1013.8163635779998,1013.8647577353281,1013.8768782982447
10,101422.9703687453,101427.6782659599,101428.93152368386,1014.2297036874531,1014.276782659599,1014.2893152368387
11,101477.97071687813,101482.53353770313,101483.92757849272,1014.7797071687813,1014.8253353770313,1014.839275784927
12,101473.00662195729,101477.78751906616,101479.1461597927,1014.7300662195729,1014.7778751906615,1014.7914615979271
13,101646.11776506668,101650.2175750349,101651.99723339062,1016.4611776506666,1016.502175750349,1016.5199723339061
14,101590.20852298854,101594.58793762812,101596.32625582813,1015.9020852298854,1015.9458793762811,1015.9632625582813
15,101525.31903260679,101529.68624208178,101531.4059746573,1015.2531903260676,1015.2968624208177,1015.314059746573
16,101536.65956646822,101541.06661847082,101542.98451842344,1015.3665956646823,1015.4106661847082,1015.4298451842344
17,101608.82801131665,101613.20284936405,101615.18188715781,1016.0882801131665,1016.1320284936406,1016.151818871578
18,101639.90848335832,101644.28798943228,101646.26888768803,1016.3990848335833,1016.4428798943228,1016.4626888768804
19,101683.24568109271,101687.61892832188,101689.60590361926,1016.832456810927,1016.8761892832187,1016.8960590361928
