Year,Month,Day,Hour,Minute,PW boom-1 [m^3/s^3],PW boom-2 [m^3/s^3],PW boom-3 [m^3/s^3]
2022,4,12,0,0,NaN,NaN,NaN
2022,4,12,0,20,NaN,NaN,NaN
2022,4,12,0,40,NaN,NaN,NaN
2022,4,12,1,0,NaN,NaN,NaN
2022,4,12,1,20,NaN,NaN,NaN
2022,4,12,1,40,NaN,NaN,NaN
2022,4,12,2,0,NaN,NaN,NaN
2022,4,12,2,20,NaN,NaN,NaN
2022,4,12,2,40,NaN,NaN,NaN
2022,4,12,3,0,NaN,NaN,NaN
2022,4,12,3,20,NaN,NaN,NaN
2022,4,12,3,40,NaN,NaN,NaN
2022,4,12,4,0,NaN,NaN,NaN
2022,4,12,4,20,NaN,NaN,NaN
2022,4,12,4,40,NaN,NaN,NaN
2022,4,12,5,0,NaN,NaN,NaN
2022,4,12,5,20,NaN,NaN,NaN
2022,4,12,5,40,NaN,NaN,NaN
2022,4,12,6,0,NaN,NaN,NaN
2022,4,12,6,20,NaN,NaN,NaN
2022,4,12,6,40,NaN,NaN,NaN
2022,4,12,7,0,NaN,NaN,NaN
2022,4,12,7,20,NaN,NaN,NaN
2022,4,12,7,40,NaN,NaN,NaN
2022,4,12,8,0,NaN,NaN,NaN
2022,4,12,8,20,NaN,NaN,NaN
2022,4,12,8,40,NaN,NaN,NaN
2022,4,12,9,0,NaN,NaN,NaN
2022,4,12,9,20,NaN,NaN,NaN
2022,4,12,9,40,NaN,NaN,NaN
2022,4,12,10,0,NaN,NaN,NaN
2022,4,12,10,20,NaN,NaN,NaN
2022,4,12,10,40,NaN,NaN,NaN
2022,4,12,11,0,NaN,NaN,NaN
2022,4,12,11,20,NaN,NaN,NaN
2022,4,12,11,40,NaN,NaN,NaN
2022,4,12,12,0,NaN,NaN,NaN
2022,4,12,12,20,NaN,NaN,NaN
2022,4,12,12,40,NaN,NaN,NaN
2022,4,12,13,0,NaN,NaN,NaN
2022,4,12,13,20,NaN,NaN,NaN
2022,4,12,13,40,NaN,NaN,NaN
2022,4,12,14,0,NaN,NaN,NaN
2022,4,12,14,20,NaN,NaN,NaN
2022,4,12,14,40,NaN,NaN,NaN
2022,4,12,14,59,NaN,NaN,NaN
2022,4,12,15,19,NaN,NaN,NaN
2022,4,12,15,39,NaN,NaN,NaN
2022,4,12,15,59,NaN,NaN,NaN
2022,4,12,16,19,NaN,NaN,NaN
2022,4,12,16,39,NaN,NaN,NaN
2022,4,12,16,59,NaN,NaN,NaN
2022,4,12,17,19,NaN,NaN,NaN
2022,4,12,17,39,NaN,NaN,NaN
2022,4,12,17,59,NaN,NaN,NaN
2022,4,12,18,19,NaN,NaN,NaN
2022,4,12,18,39,NaN,NaN,NaN
2022,4,12,18,59,NaN,NaN,NaN
2022,4,12,19,19,NaN,NaN,NaN
2022,4,12,19,39,NaN,NaN,NaN
