new_index_arr,index_arr,sigH,T_period,Cp,new_datetime
0,,,,,2022-04-15 00:00:00
1,,,,,2022-04-15 00:20:00
2,,,,,2022-04-15 00:40:00
3,,,,,2022-04-15 01:00:00
4,,,,,2022-04-15 01:20:00
5,,,,,2022-04-15 01:40:00
6,,,,,2022-04-15 02:00:00
7,,,,,2022-04-15 02:20:00
8,,,,,2022-04-15 02:40:00
9,,,,,2022-04-15 03:00:00
10,,,,,2022-04-15 03:20:00
11,,,,,2022-04-15 03:40:00
12,,,,,2022-04-15 04:00:00
13,,,,,2022-04-15 04:20:00
14,,,,,2022-04-15 04:40:00
15,,,,,2022-04-15 05:00:00
16,,,,,2022-04-15 05:20:00
17,,,,,2022-04-15 05:40:00
18,,,,,2022-04-15 06:00:00
19,,,,,2022-04-15 06:20:00
20,,,,,2022-04-15 06:40:00
21,,,,,2022-04-15 07:00:00
22,,,,,2022-04-15 07:20:00
23,,,,,2022-04-15 07:40:00
24,0.0,0.1718163154892193,2.4039943363887026,3.7495541865367947,2022-04-15 08:00:00
25,1.0,0.18757760607554527,2.4039943363887026,3.7495541865367947,2022-04-15 08:20:00
26,1.5,0.21066325208285608,2.4039943363887026,3.7495541865367947,2022-04-15 08:40:00
27,2.0,0.23374889809016686,2.4039943363887026,3.7495541865367947,2022-04-15 09:00:00
28,3.0,0.23025081127553593,1.8351254480286738,2.862279005225419,2022-04-15 09:20:00
29,3.5,0.2424601028679324,1.7766231266989005,2.7710318557299813,2022-04-15 09:40:00
30,4.0,0.2546693944603289,1.7181208053691275,2.679784706234544,2022-04-15 10:00:00
31,5.0,0.32468013658240585,1.9176029962546817,2.9909207582689517,2022-04-15 10:20:00
32,5.5,0.33795705117896097,2.0481632002550003,3.1945579160575566,2022-04-15 10:40:00
33,6.0,0.3512339657755161,2.178723404255319,3.398195073846162,2022-04-15 11:00:00
34,7.0,0.3342283339807828,2.178723404255319,3.398195073674773,2022-04-15 11:20:00
35,7.5,0.3438582938950294,2.2969088719389803,3.5825310735619773,2022-04-15 11:40:00
36,8.0,0.35348825380927607,2.4150943396226414,3.766867073449182,2022-04-15 12:00:00
37,9.0,0.3932165644804373,2.3703703703703702,3.697110320119514,2022-04-15 12:20:00
38,9.5,0.3885559684760213,2.4042328042328043,3.749926119322237,2022-04-15 12:40:00
39,10.0,0.3838953724716053,2.4380952380952383,3.8027419185249602,2022-04-15 13:00:00
40,11.0,0.4347349472791128,2.403755868544601,3.7491822537513526,2022-04-15 13:20:00
41,11.5,0.47967170466069853,2.608471340865707,4.068473273143679,2022-04-15 13:40:00
42,12.0,0.5246084620422842,2.8131868131868134,4.387764292536005,2022-04-15 14:00:00
