,index_arr,sigH,T_period,Cp
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,0.0,0.1718163154892193,2.4039943363887026,3.7495541865367947
25,1.0,0.18757760607554527,2.4039943363887026,3.7495541865367947
26,1.5,0.21066325208285608,2.4039943363887026,3.7495541865367947
27,2.0,0.23374889809016686,2.4039943363887026,3.7495541865367947
28,3.0,0.23025081127553593,1.8351254480286738,2.862279005225419
29,3.5,0.2424601028679324,1.7766231266989005,2.7710318557299813
30,4.0,0.2546693944603289,1.7181208053691275,2.679784706234544
31,5.0,0.32468013658240585,1.9176029962546817,2.9909207582689517
32,5.5,0.33795705117896097,2.0481632002550003,3.1945579160575566
33,6.0,0.3512339657755161,2.178723404255319,3.398195073846162
34,7.0,0.3342283339807828,2.178723404255319,3.398195073674773
35,7.5,0.3438582938950294,2.2969088719389803,3.5825310735619773
36,8.0,0.35348825380927607,2.4150943396226414,3.766867073449182
37,9.0,0.3932165644804373,2.3703703703703702,3.697110320119514
38,9.5,0.3885559684760213,2.4042328042328043,3.749926119322237
39,10.0,0.3838953724716053,2.4380952380952383,3.8027419185249602
40,11.0,0.4347349472791128,2.403755868544601,3.7491822537513526
41,11.5,0.47967170466069853,2.608471340865707,4.068473273143679
42,12.0,0.5246084620422842,2.8131868131868134,4.387764292536005
43,13.0,0.6086330868881591,3.220125786163522,5.02213034476434
44,13.5,0.6290578543545744,3.133872416891285,4.887732464906067
45,14.0,0.6494826218209897,3.0476190476190474,4.753334585047794
46,15.0,0.6437485221668483,3.261146496815287,5.086080089942892
47,15.5,0.6524945969187992,3.372069847047099,5.258615713022726
48,16.0,0.6612406716707502,3.4829931972789114,5.431151336102561
49,17.0,0.7497999411882914,3.4594594594594597,5.394715746107559
50,17.5,0.811067343233943,3.571456348434766,5.568397113869383
51,18.0,0.8723347452795946,3.683453237410072,5.742078481631207
52,19.0,0.874791334573892,3.9083969465648853,6.088499240906544
53,19.5,0.8415079581040165,3.9083969465648853,6.088804018185861
54,20.0,0.8082245816341409,3.9083969465648853,6.0891087954651795
55,21.0,0.7580675230647177,4.129032258064516,6.425283335645307
56,21.5,0.7150516434982703,3.7268537913699205,5.805274233284553
57,22.0,0.672035763931823,3.324675324675325,5.185265130923798
58,23.0,0.6991405889764297,3.34640522875817,5.219128889387751
59,23.5,0.6937644453248453,3.657698738410093,5.701030354281986
60,24.0,0.6883883016732608,3.9689922480620154,6.182931819176221
61,25.0,0.7370302092333272,3.9689922480620154,6.18275653213297
62,25.5,0.738372151925408,3.8949438852250378,6.068927765485913
63,26.0,0.7397140946174887,3.8208955223880596,5.955098998838857
