,alpha_s1,alpha_s2,alpha_s3,alpha_s4,time,date,MM,hh
0,91.20481729994577,90.2100047562629,91.40232788003176,85.31991260383323,0,2022-04-15 00:00:00,4,0
1,108.97809265771888,108.11872574478029,108.70602674206545,103.01400205235375,1,2022-04-15 00:20:00,4,0
2,112.22790170839906,111.15038792112007,111.5717732419135,105.86377833370719,2,2022-04-15 00:40:00,4,0
3,116.6060451923691,116.00872773930095,116.20305238894477,110.88216639994894,3,2022-04-15 01:00:00,4,1
4,108.32034390105295,107.1366623410306,107.78042298333881,102.16652822457749,4,2022-04-15 01:20:00,4,1
5,106.29970889175067,105.08327726568386,105.59981979468745,100.01140544974947,5,2022-04-15 01:40:00,4,1
6,111.0475757732482,109.93088367431054,110.45237516803255,104.86131811716983,6,2022-04-15 02:00:00,4,2
7,113.40001017855054,112.52801332075619,113.07413045441459,107.67672498992431,7,2022-04-15 02:20:00,4,2
8,104.40999277383845,103.34092209033099,104.17064747145099,98.67998340129965,8,2022-04-15 02:40:00,4,2
9,108.05266922201186,106.85265397544964,107.38589259653206,101.67784719989747,9,2022-04-15 03:00:00,4,3
10,114.90233960738121,114.07959072534939,114.44595578250443,108.69734089877727,10,2022-04-15 03:20:00,4,3
11,120.90295037592153,120.3844502849247,120.85242115560094,115.39172612748504,11,2022-04-15 03:40:00,4,3
12,103.8636742934948,102.61587817429036,103.5316240218505,98.07362593735557,12,2022-04-15 04:00:00,4,4
13,176.57681278148084,174.69579421016,176.21442337453297,167.6239193607697,13,2022-04-15 04:20:00,4,4
14,150.44330420932178,148.9571275858609,149.76501361543265,143.4638690865097,14,2022-04-15 04:40:00,4,4
15,129.74858707652444,128.8585116907161,129.3697984663006,124.13755772862655,15,2022-04-15 05:00:00,4,5
16,132.5691582491361,130.61696811591995,131.37240670206666,128.08250556920808,16,2022-04-15 05:20:00,4,5
17,192.57858863185055,184.65079667350264,183.93914399654898,173.7583667312158,17,2022-04-15 05:40:00,4,5
18,181.193785556056,177.4183264441765,178.691156371357,169.8372024761459,18,2022-04-15 06:00:00,4,6
19,162.41108307018456,160.35815372532738,161.423148660467,154.47231219944422,19,2022-04-15 06:20:00,4,6
20,161.12928268887038,159.3127557556439,160.46876185213557,153.6017853473823,20,2022-04-15 06:40:00,4,6
21,165.009657925487,163.24658222855595,164.51361727361956,157.16690046657004,21,2022-04-15 07:00:00,4,7
22,169.45773313517867,167.14655159322893,168.1816454595524,159.9356875853989,22,2022-04-15 07:20:00,4,7
