,alpha_s1,alpha_s2,alpha_s3,alpha_s4,time,date,MM,hh,new_index_arr,good_wind_dir,datetime
0,,,,,0,,,,,True,2022-04-15 00:00:00
1,,,,,1,,,,,False,2022-04-15 00:20:00
2,,,,,2,,,,,False,2022-04-15 00:40:00
3,,,,,3,,,,,False,2022-04-15 01:00:00
4,,,,,4,,,,,False,2022-04-15 01:20:00
5,,,,,5,,,,,False,2022-04-15 01:40:00
6,,,,,6,,,,,False,2022-04-15 02:00:00
7,,,,,7,,,,,False,2022-04-15 02:20:00
8,,,,,8,,,,,False,2022-04-15 02:40:00
9,,,,,9,,,,,False,2022-04-15 03:00:00
10,,,,,10,,,,,False,2022-04-15 03:20:00
11,,,,,11,,,,,False,2022-04-15 03:40:00
12,,,,,12,,,,,False,2022-04-15 04:00:00
13,,,,,13,,,,,False,2022-04-15 04:20:00
14,,,,,14,,,,,False,2022-04-15 04:40:00
15,,,,,15,,,,,False,2022-04-15 05:00:00
16,,,,,16,,,,,False,2022-04-15 05:20:00
17,,,,,17,,,,,False,2022-04-15 05:40:00
18,,,,,18,,,,,False,2022-04-15 06:00:00
19,,,,,19,,,,,False,2022-04-15 06:20:00
20,,,,,20,,,,,False,2022-04-15 06:40:00
21,165.009657925487,163.24658222855595,164.51361727361956,157.16690046657004,21,2022-04-15 07:00:00,4.0,7.0,,False,2022-04-15 07:00:00
22,169.45773313517867,167.14655159322893,168.1816454595524,159.9356875853989,22,2022-04-15 07:20:00,4.0,7.0,,False,2022-04-15 07:20:00
23,165.45460423505182,163.42552222665626,164.2719193934354,156.35614758446184,23,2022-04-15 07:40:00,4.0,7.0,,False,2022-04-15 07:40:00
24,170.0153745942098,167.92672720418705,168.82273649194002,160.4892939665671,24,2022-04-15 08:00:00,4.0,8.0,,False,2022-04-15 08:00:00
25,166.50024734592438,164.4362368893376,165.0360047995721,156.66827007945494,25,2022-04-15 08:20:00,4.0,8.0,,False,2022-04-15 08:20:00
26,154.3467999044021,152.63720381910213,153.29885345762415,146.60212906184734,26,2022-04-15 08:40:00,4.0,8.0,,False,2022-04-15 08:40:00
27,143.21278463933766,141.26439945586637,141.57612523590592,135.78642903113905,27,2022-04-15 09:00:00,4.0,9.0,,False,2022-04-15 09:00:00
28,132.59725657531823,131.50320231868753,132.26025655837347,126.97824288755282,28,2022-04-15 09:20:00,4.0,9.0,,False,2022-04-15 09:20:00
29,131.9636201068691,130.74511057089578,131.33293277678945,125.8005539878872,29,2022-04-15 09:40:00,4.0,9.0,,False,2022-04-15 09:40:00
30,134.07268411619287,132.61947858722354,132.91033050411636,127.24257853317778,30,2022-04-15 10:00:00,4.0,10.0,,False,2022-04-15 10:00:00
31,131.6287576179562,130.49474765746078,131.1499589868187,125.46842336625821,31,2022-04-15 10:20:00,4.0,10.0,,False,2022-04-15 10:20:00
32,133.87096438869517,132.81821413291263,133.51399698343675,127.92139898736043,32,2022-04-15 10:40:00,4.0,10.0,,False,2022-04-15 10:40:00
33,143.48465411120566,142.649811519801,143.90213024414618,138.4560635620686,33,2022-04-15 11:00:00,4.0,11.0,,False,2022-04-15 11:00:00
34,166.14425029283566,165.04709554519806,166.55465012076894,158.6149624690138,34,2022-04-15 11:20:00,4.0,11.0,,False,2022-04-15 11:20:00
35,174.0702472427089,172.4835029560017,173.9001070500292,165.14401601775114,35,2022-04-15 11:40:00,4.0,11.0,,False,2022-04-15 11:40:00
36,185.7660646733612,184.43947142817467,185.58160024447776,175.92450399880926,36,2022-04-15 12:00:00,4.0,12.0,,False,2022-04-15 12:00:00
37,198.99809386413477,197.6517736955911,198.89898993606636,188.1254614543144,37,2022-04-15 12:20:00,4.0,12.0,,False,2022-04-15 12:20:00
38,238.4108949966402,239.06686626597988,240.62377800339794,228.8568770803337,38,2022-04-15 12:40:00,4.0,12.0,,False,2022-04-15 12:40:00
39,241.1382176476414,241.52444397076712,242.84296516570492,230.8917301583144,39,2022-04-15 13:00:00,4.0,13.0,,False,2022-04-15 13:00:00
40,239.04784221191434,239.36686040046965,240.5691909721324,228.54012216437474,40,2022-04-15 13:20:00,4.0,13.0,,False,2022-04-15 13:20:00
41,236.07265760951776,236.14075183307034,237.2077616289287,224.81897841092072,41,2022-04-15 13:40:00,4.0,13.0,,False,2022-04-15 13:40:00
42,235.31046317285785,235.63583071155685,236.7536069599081,224.35516082414787,42,2022-04-15 14:00:00,4.0,14.0,,False,2022-04-15 14:00:00
43,235.9952500198262,236.20808771435298,237.34944174169783,224.98678531210362,43,2022-04-15 14:20:00,4.0,14.0,,False,2022-04-15 14:20:00
44,234.99292042501023,235.15677599370187,236.38002634526552,224.09867628563606,44,2022-04-15 14:40:00,4.0,14.0,,False,2022-04-15 14:40:00
45,239.78144942267227,240.05620807966037,241.19858746262292,229.2850599923076,45,2022-04-15 15:00:00,4.0,15.0,,False,2022-04-15 15:00:00
46,237.94163482352357,238.3271520230602,239.5599979690182,227.69292375231032,46,2022-04-15 15:20:00,4.0,15.0,,False,2022-04-15 15:20:00
47,238.23710005931176,238.792983269875,240.0836258629606,228.38880827994618,47,2022-04-15 15:40:00,4.0,15.0,,False,2022-04-15 15:40:00
48,237.87579824817615,237.99176873096263,239.27729112860683,227.3364204975695,48,2022-04-15 16:00:00,4.0,16.0,,False,2022-04-15 16:00:00
49,237.4013243853504,237.73654018643313,238.9482898354493,226.93137897010243,49,2022-04-15 16:20:00,4.0,16.0,,False,2022-04-15 16:20:00
50,237.11762176206503,237.43286130477878,238.79161082215631,226.85839502024743,50,2022-04-15 16:40:00,4.0,16.0,,False,2022-04-15 16:40:00
51,234.8902037493894,235.02713986986012,236.2866382954791,224.2900594914164,51,2022-04-15 17:00:00,4.0,17.0,,False,2022-04-15 17:00:00
