,alpha_s1,alpha_s2,alpha_s3,alpha_s4,time,date,MM,hh,new_index_arr,good_wind_dir,windDir_within_15_deg,windDir_final,datetime
0,,,,,0,,,,,True,True,True,2022-04-15 00:00:00
1,,,,,1,,,,,True,True,True,2022-04-15 00:20:00
2,,,,,2,,,,,True,True,True,2022-04-15 00:40:00
3,,,,,3,,,,,True,True,True,2022-04-15 01:00:00
4,,,,,4,,,,,True,True,True,2022-04-15 01:20:00
5,,,,,5,,,,,True,True,True,2022-04-15 01:40:00
6,,,,,6,,,,,True,True,True,2022-04-15 02:00:00
7,,,,,7,,,,,True,True,True,2022-04-15 02:20:00
8,,,,,8,,,,,True,True,True,2022-04-15 02:40:00
9,,,,,9,,,,,True,True,True,2022-04-15 03:00:00
10,,,,,10,,,,,True,True,True,2022-04-15 03:20:00
11,,,,,11,,,,,True,True,True,2022-04-15 03:40:00
12,,,,,12,,,,,True,True,True,2022-04-15 04:00:00
13,,,,,13,,,,,True,True,True,2022-04-15 04:20:00
14,,,,,14,,,,,True,True,True,2022-04-15 04:40:00
15,,,,,15,,,,,True,True,True,2022-04-15 05:00:00
16,,,,,16,,,,,True,True,True,2022-04-15 05:20:00
17,,,,,17,,,,,True,True,True,2022-04-15 05:40:00
18,,,,,18,,,,,True,True,True,2022-04-15 06:00:00
19,,,,,19,,,,,True,True,True,2022-04-15 06:20:00
20,,,,,20,,,,,True,True,True,2022-04-15 06:40:00
21,314.990342074513,316.75341777144405,315.48638272638044,322.83309953342996,21,2022-04-15 07:00:00,4.0,7.0,,True,True,True,2022-04-15 07:00:00
22,310.54226686482133,312.85344840677107,311.81835454044756,320.0643124146011,22,2022-04-15 07:20:00,4.0,7.0,,True,True,True,2022-04-15 07:20:00
23,314.5453957649482,316.57447777334374,315.7280806065646,323.64385241553816,23,2022-04-15 07:40:00,4.0,7.0,,True,True,True,2022-04-15 07:40:00
24,309.9846254057902,312.07327279581295,311.17726350806,319.51070603343294,24,2022-04-15 08:00:00,4.0,8.0,,True,True,True,2022-04-15 08:00:00
25,313.4997526540756,315.5637631106624,314.9639952004279,323.33172992054506,25,2022-04-15 08:20:00,4.0,8.0,,True,True,True,2022-04-15 08:20:00
26,325.65320009559787,327.3627961808979,326.70114654237585,333.39787093815266,26,2022-04-15 08:40:00,4.0,8.0,,True,True,True,2022-04-15 08:40:00
27,336.78721536066234,338.73560054413366,338.4238747640941,344.21357096886095,27,2022-04-15 09:00:00,4.0,9.0,,True,True,True,2022-04-15 09:00:00
28,347.4027434246818,348.4967976813125,347.7397434416265,353.0217571124472,28,2022-04-15 09:20:00,4.0,9.0,,True,True,True,2022-04-15 09:20:00
29,348.0363798931309,349.25488942910425,348.66706722321055,354.1994460121128,29,2022-04-15 09:40:00,4.0,9.0,,True,True,True,2022-04-15 09:40:00
30,345.9273158838071,347.3805214127765,347.08966949588364,352.7574214668222,30,2022-04-15 10:00:00,4.0,10.0,,True,True,True,2022-04-15 10:00:00
31,348.37124238204376,349.5052523425392,348.85004101318134,354.5315766337418,31,2022-04-15 10:20:00,4.0,10.0,,True,True,True,2022-04-15 10:20:00
32,346.12903561130486,347.18178586708734,346.48600301656325,352.0786010126396,32,2022-04-15 10:40:00,4.0,10.0,,True,True,True,2022-04-15 10:40:00
33,336.51534588879434,337.350188480199,336.0978697558538,341.5439364379314,33,2022-04-15 11:00:00,4.0,11.0,,True,True,True,2022-04-15 11:00:00
34,313.85574970716436,314.9529044548019,313.44534987923106,321.3850375309862,34,2022-04-15 11:20:00,4.0,11.0,,True,True,True,2022-04-15 11:20:00
35,305.9297527572911,307.5164970439983,306.0998929499708,314.85598398224886,35,2022-04-15 11:40:00,4.0,11.0,,True,True,True,2022-04-15 11:40:00
36,294.2339353266388,295.56052857182533,294.4183997555223,304.07549600119074,36,2022-04-15 12:00:00,4.0,12.0,,True,True,True,2022-04-15 12:00:00
37,281.0019061358652,282.3482263044089,281.10101006393364,291.8745385456856,37,2022-04-15 12:20:00,4.0,12.0,,True,True,True,2022-04-15 12:20:00
38,241.5891050033598,240.93313373402012,239.37622199660206,251.1431229196663,38,2022-04-15 12:40:00,4.0,12.0,,True,True,True,2022-04-15 12:40:00
39,238.8617823523586,238.47555602923288,237.15703483429508,249.1082698416856,39,2022-04-15 13:00:00,4.0,13.0,,True,True,True,2022-04-15 13:00:00
40,240.95215778808566,240.63313959953035,239.4308090278676,251.45987783562526,40,2022-04-15 13:20:00,4.0,13.0,,True,True,True,2022-04-15 13:20:00
41,243.92734239048224,243.85924816692966,242.7922383710713,255.18102158907928,41,2022-04-15 13:40:00,4.0,13.0,,True,True,True,2022-04-15 13:40:00
42,244.68953682714215,244.36416928844315,243.2463930400919,255.64483917585213,42,2022-04-15 14:00:00,4.0,14.0,,True,True,True,2022-04-15 14:00:00
43,244.0047499801738,243.79191228564702,242.65055825830217,255.01321468789638,43,2022-04-15 14:20:00,4.0,14.0,,True,True,True,2022-04-15 14:20:00
