,thetaV_sonic1,thetaV_sonic2,thetaV_sonic3,thetaV_sonic4
0,280.7988357871381,280.5397673193014,280.65859804914834,281.5338620494929
1,280.74719854241215,280.4938220963993,280.6139381204065,281.5004416932489
2,280.7057000751988,280.45168444812407,280.5708961981401,281.4809690833026
3,280.6593534312053,280.4167590831272,280.54051938604243,281.4739826410048
4,280.64664383459296,280.39365187867986,280.5148622664653,281.44771892055775
5,280.64341176330976,280.3991708921214,280.52466409333607,281.4689167339955
6,280.6762285232319,280.4288731994603,280.5502874625937,281.4897827696601
7,280.6667093847796,280.4167811949514,280.53814000517195,281.4769055525448
8,280.7331278381733,280.48885495694134,280.6133767016482,281.5579415194055
9,280.7431343903483,280.497051146422,280.61937891676547,281.6564697172352
10,280.72959298851663,280.48507257757706,280.6096720314662,281.63931247765765
11,280.7302902791683,280.4868465591125,280.6102126349367,281.6421347755324
12,280.7702435551884,280.5268705111732,280.65107928744413,281.7260714880775
13,280.80915528965676,280.5614507609948,280.7002776326809,281.9081483527298
14,280.8661681322797,280.60271125301875,280.74397211599575,281.6587157994556
15,280.9838500268348,280.70610294315,280.857731122976,281.4748927155852
16,280.8181949559539,280.57601844087276,280.7270541128445,280.9606152484606
17,280.8203798744901,280.5784762386213,280.7293800265703,280.95448724888934
18,280.8275697219254,280.5824524589372,280.732819860826,281.0344405003343
19,280.8919070368248,280.6376918511898,280.7784046941919,281.1942618002062
20,280.992598830283,280.7443006554519,280.87829874060253,281.5205877923247
21,281.1547374032104,280.9264023407896,281.0596870583394,281.6846994083312
22,281.2633712911482,281.05148629233463,281.19560780325094,282.0393858134734
23,281.2939284604936,281.08721864110316,281.23828238761126,281.97127006715147
24,281.4212722480393,281.2201181656344,281.3802594204349,281.51212020853774
25,281.59418330731427,281.44722582650246,281.62453801267867,282.03569520544653
26,281.86678005739645,281.7559677997277,282.0025618383958,282.1686607275698
27,282.116141783114,282.0960052542291,282.3155654771862,282.4504649459525
28,282.59377604374157,282.62241031458944,282.90009149758964,282.84155925688447
29,282.9514082169504,283.0719071056383,283.32755584052154,283.1183067960753
30,283.5682624022086,283.68481107111234,283.97443144867793,284.0599976701995
