new_index,z_sonic1,z_sonic2,z_sonic3,z_sonic4,z_met1,z_met2,z_paros1,z_paros2,z_paros3
0,2.4880000000000004,5.183000000000001,7.977999999999999,10.393,3.802999999999998,6.358000000000001,2.8080000000000007,4.863,7.692999999999999
1,2.4830000000000005,5.178000000000001,7.972999999999999,10.388000000000002,3.7979999999999983,6.3530000000000015,2.803000000000001,4.8580000000000005,7.687999999999999
2,2.5020000000000007,5.197000000000001,7.991999999999999,10.407000000000002,3.8169999999999984,6.372000000000002,2.822000000000001,4.877000000000001,7.706999999999999
3,2.4285000000000005,5.123500000000001,7.918499999999999,10.3335,3.7434999999999983,6.2985000000000015,2.748500000000001,4.8035000000000005,7.633499999999999
4,2.4270000000000005,5.122000000000001,7.916999999999999,10.332,3.741999999999998,6.2970000000000015,2.7470000000000008,4.8020000000000005,7.631999999999999
5,2.389,5.0840000000000005,7.878999999999999,10.294,3.703999999999998,6.259000000000001,2.7090000000000005,4.764,7.5939999999999985
6,2.3445000000000005,5.0395,7.8344999999999985,10.2495,3.659499999999998,6.214500000000001,2.6645000000000008,4.7195,7.549499999999998
7,2.2965000000000004,4.9915,7.786499999999998,10.2015,3.611499999999998,6.166500000000001,2.6165000000000007,4.6715,7.501499999999998
8,2.2700000000000005,4.965000000000001,7.759999999999999,10.175,3.584999999999998,6.1400000000000015,2.5900000000000007,4.6450000000000005,7.474999999999999
9,2.2195000000000005,4.9145,7.7094999999999985,10.1245,3.534499999999998,6.089500000000001,2.5395000000000008,4.5945,7.424499999999998
10,2.1655000000000006,4.860500000000001,7.655499999999999,10.070500000000004,3.4804999999999984,6.035500000000002,2.485500000000001,4.540500000000001,7.370499999999999
11,2.1290000000000004,4.824000000000001,7.618999999999999,10.034000000000002,3.443999999999998,5.999000000000001,2.4490000000000007,4.504,7.333999999999999
12,2.0175,4.7125,7.5074999999999985,9.9225,3.332499999999998,5.887500000000001,2.3375000000000004,4.3925,7.222499999999998
13,1.9345000000000008,4.629500000000001,7.424499999999999,9.8395,3.2494999999999985,5.804500000000002,2.254500000000001,4.309500000000001,7.139499999999999
14,1.7875000000000003,4.482500000000001,7.277499999999999,9.692500000000004,3.1024999999999983,5.6575000000000015,2.107500000000001,4.1625000000000005,6.992499999999999
15,1.697500000000001,4.392500000000001,7.187499999999999,9.602500000000004,3.0124999999999984,5.567500000000002,2.017500000000001,4.072500000000001,6.902499999999999
16,1.6365000000000005,4.3315,7.126499999999998,9.5415,2.951499999999998,5.506500000000001,1.9565000000000008,4.0115,6.841499999999998
